timestamp,room,peopleCount
2025-09-15T07:00:05.000Z,Room 2.12,0
2025-09-15T07:40:12.000Z,Room 2.12,0
2025-09-15T08:00:07.000Z,Room 2.12,0
2025-09-15T08:20:07.000Z,Room 2.12,0
2025-09-15T08:40:07.000Z,Room 2.12,0
2025-09-15T09:00:07.000Z,Room 2.12,0
2025-09-15T09:20:07.000Z,Room 2.12,0
2025-09-15T09:40:07.000Z,Room 2.12,2
2025-09-15T10:00:08.000Z,Room 2.12,4
2025-09-15T10:20:07.000Z,Room 2.12,4
2025-09-15T10:40:07.000Z,Room 2.12,4
2025-09-15T11:00:07.000Z,Room 2.12,4
2025-09-15T11:20:08.000Z,Room 2.12,3
2025-09-15T11:40:07.000Z,Room 2.12,2
2025-09-15T12:00:07.000Z,Room 2.12,2
2025-09-15T12:20:07.000Z,Room 2.12,0
2025-09-15T12:40:08.000Z,Room 2.12,0
2025-09-15T13:00:07.000Z,Room 2.12,0
2025-09-15T13:20:07.000Z,Room 2.12,0
2025-09-15T13:40:07.000Z,Room 2.12,0
2025-09-15T14:00:07.000Z,Room 2.12,2
2025-09-15T14:20:08.000Z,Room 2.12,2
2025-09-15T14:40:08.000Z,Room 2.12,4
2025-09-15T15:00:07.000Z,Room 2.12,2
2025-09-15T15:20:08.000Z,Room 2.12,3
2025-09-15T15:40:07.000Z,Room 2.12,3
2025-09-15T16:00:07.000Z,Room 2.12,3
2025-09-15T16:20:07.000Z,Room 2.12,2
2025-09-15T16:40:07.000Z,Room 2.12,2
2025-09-15T17:00:07.000Z,Room 2.12,1
2025-09-15T17:20:07.000Z,Room 2.12,1
2025-09-15T17:40:07.000Z,Room 2.12,0
2025-09-16T07:00:07.000Z,Room 2.12,0
2025-09-16T07:20:07.000Z,Room 2.12,0
2025-09-16T07:40:07.000Z,Room 2.12,0
2025-09-16T08:00:08.000Z,Room 2.12,3
2025-09-16T08:20:07.000Z,Room 2.12,10
2025-09-16T08:40:07.000Z,Room 2.12,16
2025-09-16T09:00:07.000Z,Room 2.12,56
2025-09-16T09:20:07.000Z,Room 2.12,60
2025-09-16T09:40:07.000Z,Room 2.12,57
2025-09-16T10:00:08.000Z,Room 2.12,58
2025-09-16T10:20:07.000Z,Room 2.12,51
2025-09-16T10:40:07.000Z,Room 2.12,54
2025-09-16T11:00:09.000Z,Room 2.12,33
2025-09-16T11:20:07.000Z,Room 2.12,0
2025-09-16T11:40:07.000Z,Room 2.12,0
2025-09-16T12:00:07.000Z,Room 2.12,0
2025-09-16T12:20:07.000Z,Room 2.12,0
2025-09-16T12:40:07.000Z,Room 2.12,0
2025-09-16T13:00:08.000Z,Room 2.12,0
2025-09-16T13:20:07.000Z,Room 2.12,0
2025-09-16T13:40:07.000Z,Room 2.12,0
2025-09-16T14:00:07.000Z,Room 2.12,0
2025-09-16T14:20:07.000Z,Room 2.12,0
2025-09-16T14:40:08.000Z,Room 2.12,0
2025-09-16T15:00:07.000Z,Room 2.12,0
2025-09-16T15:20:07.000Z,Room 2.12,0
2025-09-16T15:40:07.000Z,Room 2.12,0
2025-09-16T16:00:07.000Z,Room 2.12,0
2025-09-16T16:20:07.000Z,Room 2.12,0
2025-09-16T16:40:07.000Z,Room 2.12,0
2025-09-16T17:00:07.000Z,Room 2.12,0
2025-09-16T17:20:07.000Z,Room 2.12,0
2025-09-16T17:40:08.000Z,Room 2.12,0
2025-09-17T07:00:07.000Z,Room 2.12,0
2025-09-17T07:20:07.000Z,Room 2.12,4
2025-09-17T07:40:07.000Z,Room 2.12,25
2025-09-17T08:00:07.000Z,Room 2.12,67
2025-09-17T08:20:07.000Z,Room 2.12,142
2025-09-17T08:40:07.000Z,Room 2.12,134
2025-09-17T09:00:07.000Z,Room 2.12,50
2025-09-17T09:20:07.000Z,Room 2.12,138
2025-09-17T09:40:07.000Z,Room 2.12,148
2025-09-17T10:00:07.000Z,Room 2.12,125
2025-09-17T10:20:07.000Z,Room 2.12,120
2025-09-17T10:40:07.000Z,Room 2.12,126
2025-09-17T11:00:07.000Z,Room 2.12,34
2025-09-17T11:20:07.000Z,Room 2.12,37
2025-09-17T11:40:08.000Z,Room 2.12,43
2025-09-17T12:00:08.000Z,Room 2.12,67
2025-09-17T12:20:07.000Z,Room 2.12,121
2025-09-17T12:40:07.000Z,Room 2.12,128
2025-09-17T13:00:07.000Z,Room 2.12,61
2025-09-17T13:20:08.000Z,Room 2.12,116
2025-09-17T13:40:08.000Z,Room 2.12,110
2025-09-17T14:00:08.000Z,Room 2.12,106
2025-09-17T14:20:07.000Z,Room 2.12,109
2025-09-17T14:40:07.000Z,Room 2.12,115
2025-09-17T15:00:07.000Z,Room 2.12,112
2025-09-17T15:20:07.000Z,Room 2.12,109
2025-09-17T15:40:07.000Z,Room 2.12,105
2025-09-17T16:00:07.000Z,Room 2.12,10
2025-09-17T16:20:07.000Z,Room 2.12,0
2025-09-17T16:40:08.000Z,Room 2.12,0
2025-09-17T17:00:08.000Z,Room 2.12,0
2025-09-17T17:20:07.000Z,Room 2.12,0
2025-09-17T17:40:09.000Z,Room 2.12,0
2025-09-18T07:00:07.000Z,Room 2.12,0
2025-09-18T07:20:07.000Z,Room 2.12,6
2025-09-18T07:40:07.000Z,Room 2.12,24
2025-09-18T08:00:07.000Z,Room 2.12,74
2025-09-18T08:20:07.000Z,Room 2.12,144
2025-09-18T08:40:07.000Z,Room 2.12,138
2025-09-18T09:00:07.000Z,Room 2.12,137
2025-09-18T09:20:07.000Z,Room 2.12,66
2025-09-18T09:40:08.000Z,Room 2.12,143
2025-09-18T10:00:07.000Z,Room 2.12,140
2025-09-18T10:20:07.000Z,Room 2.12,56
2025-09-18T10:40:07.000Z,Room 2.12,133
2025-09-18T11:00:07.000Z,Room 2.12,129
2025-09-18T11:20:08.000Z,Room 2.12,50
2025-09-18T11:40:07.000Z,Room 2.12,58
2025-09-18T12:00:07.000Z,Room 2.12,89
2025-09-18T12:20:07.000Z,Room 2.12,131
2025-09-18T12:40:07.000Z,Room 2.12,131
2025-09-18T13:00:08.000Z,Room 2.12,61
2025-09-18T13:20:07.000Z,Room 2.12,137
2025-09-18T13:40:07.000Z,Room 2.12,139
2025-09-18T14:00:07.000Z,Room 2.12,54
2025-09-18T14:20:07.000Z,Room 2.12,127
2025-09-18T14:40:07.000Z,Room 2.12,106
2025-09-18T15:00:07.000Z,Room 2.12,13
2025-09-18T15:20:07.000Z,Room 2.12,0
2025-09-18T15:40:07.000Z,Room 2.12,0
2025-09-18T16:00:07.000Z,Room 2.12,0
2025-09-18T16:20:08.000Z,Room 2.12,1
2025-09-18T16:40:07.000Z,Room 2.12,0
2025-09-18T17:00:07.000Z,Room 2.12,0
2025-09-18T17:20:07.000Z,Room 2.12,0
2025-09-18T17:40:07.000Z,Room 2.12,0
2025-09-19T07:00:08.000Z,Room 2.12,0
2025-09-19T07:20:07.000Z,Room 2.12,2
2025-09-19T07:40:07.000Z,Room 2.12,19
2025-09-19T08:00:08.000Z,Room 2.12,63
2025-09-19T08:20:07.000Z,Room 2.12,129
2025-09-19T08:40:07.000Z,Room 2.12,135
2025-09-19T09:00:07.000Z,Room 2.12,128
2025-09-19T09:20:07.000Z,Room 2.12,128
2025-09-19T09:40:07.000Z,Room 2.12,131
2025-09-19T10:00:07.000Z,Room 2.12,132
2025-09-19T10:20:07.000Z,Room 2.12,132
2025-09-19T10:40:07.000Z,Room 2.12,135
2025-09-19T11:00:07.000Z,Room 2.12,47
2025-09-19T11:20:07.000Z,Room 2.12,45
2025-09-19T11:40:07.000Z,Room 2.12,53
2025-09-19T12:00:07.000Z,Room 2.12,87
2025-09-19T12:20:07.000Z,Room 2.12,108
2025-09-19T12:40:08.000Z,Room 2.12,107
2025-09-19T13:00:07.000Z,Room 2.12,101
2025-09-19T13:20:07.000Z,Room 2.12,62
2025-09-19T13:40:08.000Z,Room 2.12,112
2025-09-19T14:00:07.000Z,Room 2.12,108
2025-09-19T14:20:08.000Z,Room 2.12,49
2025-09-19T14:40:07.000Z,Room 2.12,118
2025-09-19T15:00:07.000Z,Room 2.12,41
2025-09-19T15:20:07.000Z,Room 2.12,0
2025-09-19T15:40:07.000Z,Room 2.12,0
2025-09-19T16:00:07.000Z,Room 2.12,0
2025-09-19T16:20:07.000Z,Room 2.12,0
2025-09-19T16:40:07.000Z,Room 2.12,0
2025-09-19T17:00:08.000Z,Room 2.12,0
2025-09-19T17:20:07.000Z,Room 2.12,0
2025-09-19T17:40:07.000Z,Room 2.12,0
2025-09-22T07:00:08.000Z,Room 2.12,0
2025-09-22T07:20:07.000Z,Room 2.12,0
2025-09-22T07:40:07.000Z,Room 2.12,0
2025-09-22T08:00:08.000Z,Room 2.12,1
2025-09-22T08:20:07.000Z,Room 2.12,0
2025-09-22T08:40:08.000Z,Room 2.12,0
2025-09-22T09:00:07.000Z,Room 2.12,22
2025-09-22T09:20:08.000Z,Room 2.12,18
2025-09-22T09:40:07.000Z,Room 2.12,24
2025-09-22T10:00:08.000Z,Room 2.12,59
2025-09-22T10:20:07.000Z,Room 2.12,84
2025-09-22T10:40:07.000Z,Room 2.12,83
2025-09-22T11:00:07.000Z,Room 2.12,87
2025-09-22T11:20:07.000Z,Room 2.12,59
2025-09-22T11:40:07.000Z,Room 2.12,91
2025-09-22T12:00:08.000Z,Room 2.12,95
2025-09-22T12:20:07.000Z,Room 2.12,31
2025-09-22T12:40:07.000Z,Room 2.12,29
2025-09-22T13:00:07.000Z,Room 2.12,59
2025-09-22T13:20:08.000Z,Room 2.12,99
2025-09-22T13:40:07.000Z,Room 2.12,95
2025-09-22T14:00:07.000Z,Room 2.12,96
2025-09-22T14:20:07.000Z,Room 2.12,79
2025-09-22T14:40:07.000Z,Room 2.12,82
2025-09-22T15:00:07.000Z,Room 2.12,42
2025-09-22T15:20:08.000Z,Room 2.12,76
2025-09-22T15:40:07.000Z,Room 2.12,76
2025-09-22T16:00:07.000Z,Room 2.12,1
2025-09-22T16:20:07.000Z,Room 2.12,1
2025-09-22T16:40:07.000Z,Room 2.12,0
2025-09-22T17:00:07.000Z,Room 2.12,0
2025-09-22T17:20:07.000Z,Room 2.12,0
2025-09-22T17:40:07.000Z,Room 2.12,0
2025-09-23T07:00:07.000Z,Room 2.12,0
2025-09-23T07:20:07.000Z,Room 2.12,3
2025-09-23T07:40:08.000Z,Room 2.12,12
2025-09-23T08:00:07.000Z,Room 2.12,40
2025-09-23T08:20:07.000Z,Room 2.12,86
2025-09-23T08:40:07.000Z,Room 2.12,104
2025-09-23T09:00:07.000Z,Room 2.12,102
2025-09-23T09:20:07.000Z,Room 2.12,105
2025-09-23T09:40:08.000Z,Room 2.12,103
2025-09-23T10:00:07.000Z,Room 2.12,116
2025-09-23T10:20:08.000Z,Room 2.12,102
2025-09-23T11:00:07.000Z,Room 2.12,30
2025-09-23T11:20:08.000Z,Room 2.12,32
2025-09-23T11:40:07.000Z,Room 2.12,34
2025-09-23T12:00:07.000Z,Room 2.12,56
2025-09-23T12:20:07.000Z,Room 2.12,109
2025-09-23T12:40:07.000Z,Room 2.12,110
2025-09-23T13:00:07.000Z,Room 2.12,109
2025-09-23T13:20:08.000Z,Room 2.12,103
2025-09-23T13:40:07.000Z,Room 2.12,112
2025-09-23T14:00:07.000Z,Room 2.12,26
2025-09-23T14:20:07.000Z,Room 2.12,3
2025-09-23T14:40:08.000Z,Room 2.12,0
2025-09-23T15:00:07.000Z,Room 2.12,0
2025-09-23T15:20:07.000Z,Room 2.12,1
2025-09-23T15:40:07.000Z,Room 2.12,0
2025-09-23T16:00:08.000Z,Room 2.12,0
2025-09-23T16:20:07.000Z,Room 2.12,0
2025-09-23T16:40:07.000Z,Room 2.12,0
2025-09-23T17:00:07.000Z,Room 2.12,0
2025-09-23T17:20:08.000Z,Room 2.12,0
2025-09-23T17:40:07.000Z,Room 2.12,0
2025-09-24T07:00:07.000Z,Room 2.12,0
2025-09-24T07:20:07.000Z,Room 2.12,1
2025-09-24T07:40:07.000Z,Room 2.12,4
2025-09-24T08:00:07.000Z,Room 2.12,56
2025-09-24T08:40:07.000Z,Room 2.12,112
2025-09-24T09:00:07.000Z,Room 2.12,124
2025-09-24T09:20:07.000Z,Room 2.12,135
2025-09-24T09:40:07.000Z,Room 2.12,127
2025-09-24T10:00:07.000Z,Room 2.12,123
2025-09-24T10:20:07.000Z,Room 2.12,128
2025-09-24T10:40:07.000Z,Room 2.12,133
2025-09-24T11:00:07.000Z,Room 2.12,30
