timestamp,respondentId,temperatureRelevance,temperatureLabel,humidityRelevance,humidityLabel,airQualityRelevance,airQualityLabel,Q04_otherComfortParameters
2025-09-17T15:19:35.000Z,167,4,Very relevant,4,Very relevant,4,Very relevant,rumore
2025-09-19T10:24:38.000Z,166,5,Extremely relevant,5,Extremely relevant,5,Extremely relevant,"rumore, umidità"
2025-09-17T15:24:18.000Z,78,5,Extremely relevant,4,Very relevant,4,Very relevant,odore e rumore
2025-09-17T14:59:32.000Z,104,5,Extremely relevant,5,Extremely relevant,5,Extremely relevant,Spazio
2025-09-17T14:36:03.000Z,47,5,Extremely relevant,5,Extremely relevant,4,Very relevant,Rumore
2025-09-17T14:36:40.000Z,91,5,Extremely relevant,5,Extremely relevant,5,Extremely relevant,Numero di persone 
2025-09-17T14:41:56.000Z,9,5,Extremely relevant,4,Very relevant,5,Extremely relevant,"rumore, odore, luce"
2025-09-19T11:54:01.000Z,18,4,Very relevant,2,Slightly relevant,3,Moderately relevant,Luminosità
2025-09-17T14:38:05.000Z,155,5,Extremely relevant,5,Extremely relevant,5,Extremely relevant,La luminosità ambientale
2025-09-17T15:04:03.000Z,53,5,Extremely relevant,2,Slightly relevant,3,Moderately relevant,Luminosità
2025-09-17T15:12:50.000Z,4,5,Extremely relevant,4,Very relevant,5,Extremely relevant,inquinamento acustico
2025-09-19T10:12:53.000Z,1,5,Extremely relevant,4,Very relevant,3,Moderately relevant,Rumore di sottofondo
2025-09-17T14:45:38.000Z,125,5,Extremely relevant,5,Extremely relevant,5,Extremely relevant,luminosità
2025-09-17T14:39:26.000Z,56,5,Extremely relevant,5,Extremely relevant,5,Extremely relevant,Arieggiamento stanza
2025-09-17T15:18:36.000Z,128,5,Extremely relevant,5,Extremely relevant,5,Extremely relevant,L'odore
2025-09-19T11:56:12.000Z,131,5,Extremely relevant,5,Extremely relevant,5,Extremely relevant,Luce e suono 
2025-09-17T14:37:11.000Z,38,5,Extremely relevant,3,Moderately relevant,4,Very relevant,Rumori
2025-09-17T14:53:57.000Z,71,5,Extremely relevant,5,Extremely relevant,4,Very relevant,Il rumore
2025-10-10T13:58:19.000Z,179,5,Extremely relevant,3,Moderately relevant,4,Very relevant,no
2025-09-17T16:04:33.000Z,45,4,Very relevant,5,Extremely relevant,5,Extremely relevant,No
2025-09-17T16:06:59.000Z,183,5,Extremely relevant,5,Extremely relevant,5,Extremely relevant,rumore esterno
2025-09-17T14:36:49.000Z,65,4,Very relevant,3,Moderately relevant,5,Extremely relevant,no
2025-09-17T14:37:02.000Z,110,5,Extremely relevant,5,Extremely relevant,3,Moderately relevant,Odore 
2025-09-17T15:21:22.000Z,160,5,Extremely relevant,5,Extremely relevant,5,Extremely relevant,Luce
2025-09-17T14:31:43.000Z,73,5,Extremely relevant,4,Very relevant,5,Extremely relevant,Spazio di movimento
2025-09-17T14:38:52.000Z,126,3,Moderately relevant,3,Moderately relevant,3,Moderately relevant,No
2025-09-17T14:39:52.000Z,26,5,Extremely relevant,5,Extremely relevant,4,Very relevant,Luce e rumore
2025-09-17T15:04:22.000Z,60,4,Very relevant,3,Moderately relevant,4,Very relevant,Livello di luminosità.
2025-09-17T14:37:05.000Z,154,5,Extremely relevant,4,Very relevant,5,Extremely relevant,Distrurbo ambientale
2025-09-17T14:36:43.000Z,77,5,Extremely relevant,3,Moderately relevant,5,Extremely relevant,No
2025-09-19T11:51:44.000Z,138,5,Extremely relevant,4,Very relevant,4,Very relevant,La luminosità della stanz
2025-09-19T10:18:11.000Z,43,5,Extremely relevant,3,Moderately relevant,5,Extremely relevant,Rumori fastidiosi
2025-09-19T10:39:04.000Z,143,4,Very relevant,4,Very relevant,5,Extremely relevant,L'utilizzo dell aria cond
2025-09-19T11:57:31.000Z,7,4,Very relevant,5,Extremely relevant,2,Slightly relevant,Isolamento acustico
2025-09-19T10:30:38.000Z,36,5,Extremely relevant,4,Very relevant,4,Very relevant,Rumore
2025-09-19T10:17:51.000Z,100,5,Extremely relevant,5,Extremely relevant,5,Extremely relevant,L'odore
2025-09-19T10:18:42.000Z,163,5,Extremely relevant,4,Very relevant,4,Very relevant,Il rumore ambientale 
2025-09-19T11:55:24.000Z,172,5,Extremely relevant,5,Extremely relevant,5,Extremely relevant,No
